Time, DemandTotal, DemandECars, DemandHouses
0:45, -66.62313600000034, -36.60000000000025, -30.02313600000004
1:0, -66.70612000000021, -38.800000000000274, -27.906119999999984
1:15, -66.70704200000038, -40.10000000000031, -26.607042000000106
1:30, -66.68910400000019, -40.9000000000003, -25.789104000000073
1:45, -66.71173600000024, -41.50000000000032, -25.211736
2:0, -66.68248200000028, -42.00000000000033, -24.682482
2:15, -66.70134200000058, -42.50000000000033, -24.20134199999999
2:30, -66.67208800000031, -43.000000000000355, -23.672088000000024
2:45, -66.63906200000021, -43.40000000000035, -23.239062
3:0, -66.65415000000031, -43.80000000000035, -22.854149999999954
3:15, -66.66546600000042, -44.10000000000034, -22.565465999999944
3:30, -66.67301000000042, -44.300000000000374, -22.373010000000093
3:45, -66.721124, -44.30000000000037, -22.421124
4:0, -66.66169400000065, -44.000000000000334, -22.66169399999997
4:15, -66.69472000000036, -43.60000000000033, -23.094720000000066
4:30, -66.72020200000027, -43.00000000000035, -23.720202000000064
4:45, -66.64191200000026, -42.20000000000032, -24.44191200000004
5:0, -66.65607800000033, -41.300000000000324, -25.356077999999936
5:15, -66.65138400000014, -39.9000000000003, -26.751384000000048
5:30, -66.70897000000038, -37.600000000000264, -29.108970000000017
5:45, -66.71374800000001, -33.9000000000002, -32.81374800000011
6:0, -66.70628799999997, -28.600000000000133, -38.106287999999935
6:15, -66.66487999999998, -22.40000000000005, -44.26488
6:30, -66.67535800000014, -16.29999999999996, -50.375358000000126
6:45, -66.66789799999975, -10.999999999999975, -55.667897999999795
7:0, -66.72079000000004, -7.29999999999999, -59.42079000000005
7:15, -66.67460399999987, -4.799999999999999, -61.87460399999983
7:30, -66.71048000000006, -3.2000000000000015, -63.51048000000001
7:45, -66.65767199999993, -1.8000000000000005, -64.85767199999994
8:0, -66.70109199999263, -0.3999999999924819, -66.30109200000015
8:15, -67.69639800000012, 0.0, -67.69639800000012
8:30, -68.89924799999991, 0.0, -68.89924799999991
8:45, -69.6690720000002, 0.0, -69.6690720000002
9:0, -69.90964199999998, 0.0, -69.90964199999998
9:15, -69.71718599999984, 0.0, -69.71718599999984
9:30, -69.18793199999993, 0.0, -69.18793199999993
9:45, -68.46622200000017, 0.0, -68.46622200000017
10:0, -67.74451200000006, 0.0, -67.74451200000006
10:15, -67.11903000000005, 0.0, -67.11903000000005
10:30, -66.6378899999997, 0.0, -66.6378899999997
10:45, -66.49354800000006, 0.0, -66.49354800000006
