timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
404.00;-3.61;-0.50;0.00;3.68;0.00;0.00;0.50;0.00;0.00;0.09;0.25;3.61;3.61;0.50;0.00;3.61;0.00;0.00;0.50;-0.00
405.00;-4.12;-1.67;0.00;4.21;0.00;0.00;1.67;0.00;0.00;0.17;0.25;4.12;4.12;1.67;0.00;4.12;0.00;0.00;1.67;-0.00
406.00;-0.26;-0.73;0.00;0.26;0.00;0.00;0.73;0.00;0.00;0.05;0.25;0.26;0.26;0.73;0.00;0.26;0.00;0.00;0.73;-0.00
407.00;-2.32;-0.73;0.00;2.37;0.00;0.00;0.73;0.00;0.00;0.08;0.25;2.32;2.32;0.73;0.00;2.32;0.00;0.00;0.73;-0.00
408.00;-1.80;-0.82;0.01;1.84;0.00;0.00;0.81;0.00;0.00;0.08;0.25;1.80;1.80;0.82;0.01;1.80;0.00;0.00;0.81;-0.00
409.00;-0.52;-0.39;0.03;0.53;0.00;0.00;0.37;0.00;0.00;0.03;0.25;0.52;0.52;0.39;0.03;0.52;0.00;0.00;0.37;-0.00
410.00;-1.03;-0.38;0.06;1.05;0.00;0.00;0.32;0.00;0.00;0.04;0.25;1.03;1.03;0.38;0.06;1.03;0.00;0.00;0.32;-0.00
411.00;-1.81;-0.21;0.09;1.84;0.00;0.00;0.12;0.00;0.00;0.03;0.25;1.81;1.81;0.21;0.09;1.81;0.00;0.00;0.12;-0.00
412.00;-1.29;-0.28;0.13;1.32;0.00;0.00;0.16;0.00;0.00;0.03;0.25;1.29;1.29;0.28;0.13;1.29;0.00;0.00;0.16;-0.00
413.00;-0.52;-0.54;0.17;0.53;0.00;0.00;0.37;0.00;0.00;0.03;0.25;0.52;0.52;0.54;0.17;0.52;0.00;0.00;0.37;-0.00
414.00;-1.29;-0.35;0.27;1.32;0.00;0.00;0.08;0.00;0.00;0.02;0.25;1.29;1.29;0.35;0.27;1.29;0.00;0.00;0.08;-0.00
415.00;-1.03;-0.32;0.30;1.05;0.00;0.00;0.03;0.00;0.00;0.02;0.25;1.03;1.03;0.32;0.30;1.03;0.00;0.00;0.03;-0.00
416.00;-1.03;-0.32;0.30;1.05;0.00;0.00;0.02;0.00;0.00;0.02;0.25;1.03;1.03;0.32;0.30;1.03;0.00;0.00;0.02;-0.00
417.00;-0.52;-0.32;0.25;0.53;0.00;0.00;0.07;0.00;0.00;0.01;0.25;0.52;0.52;0.32;0.25;0.52;0.00;0.00;0.07;-0.00
418.00;-1.03;-0.44;0.22;1.05;0.00;0.00;0.22;0.00;0.00;0.03;0.25;1.03;1.03;0.44;0.22;1.03;0.00;0.00;0.22;-0.00
419.00;-1.03;-0.57;0.18;1.05;0.00;0.00;0.39;0.00;0.00;0.04;0.25;1.03;1.03;0.57;0.18;1.03;0.00;0.00;0.39;-0.00
420.00;-0.52;-0.18;0.20;0.53;0.00;0.00;0.00;0.01;0.00;0.01;0.25;0.52;0.52;0.18;0.20;0.52;0.00;0.00;0.00;-0.01
421.00;-1.29;-0.90;0.25;1.32;0.00;0.00;0.65;0.00;0.00;0.06;0.25;1.29;1.29;0.90;0.25;1.29;0.00;0.00;0.65;-0.00
422.00;-1.03;-1.84;0.32;1.05;0.00;0.00;1.52;0.00;0.00;0.11;0.25;1.03;1.03;1.84;0.32;1.03;0.00;0.00;1.52;-0.00
423.00;-1.03;-1.74;0.35;1.05;0.00;0.00;1.39;0.00;0.00;0.10;0.25;1.03;1.03;1.74;0.35;1.03;0.00;0.00;1.39;-0.00
424.00;-0.77;-0.96;0.34;0.79;0.00;0.00;0.61;0.00;0.00;0.05;0.25;0.77;0.77;0.96;0.34;0.77;0.00;0.00;0.61;-0.00
425.00;-1.03;-0.83;0.36;1.05;0.00;0.00;0.47;0.00;0.00;0.04;0.25;1.03;1.03;0.83;0.36;1.03;0.00;0.00;0.47;-0.00
426.00;-2.06;-1.81;0.30;2.10;0.00;0.00;1.52;0.00;0.00;0.13;0.25;2.06;2.06;1.81;0.30;2.06;0.00;0.00;1.52;-0.00
427.00;0.00;-1.40;0.31;0.00;0.00;0.00;1.10;0.00;0.00;0.07;0.25;-0.00;0.00;1.40;0.31;0.00;0.00;0.00;1.10;-0.00
428.00;-1.29;-0.78;0.29;1.32;0.00;0.00;0.49;0.00;0.00;0.05;0.25;1.29;1.29;0.78;0.29;1.29;0.00;0.00;0.49;-0.00
429.00;-0.77;-0.91;0.37;0.79;0.00;0.00;0.54;0.00;0.00;0.05;0.25;0.77;0.77;0.91;0.37;0.77;0.00;0.00;0.54;-0.00
430.00;-0.26;-0.24;0.56;0.26;0.00;0.00;0.00;0.31;0.00;-0.01;0.25;0.26;0.26;0.24;0.56;0.26;0.00;0.00;0.00;-0.31
