timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
564.00;-23.40;-7.79;0.01;20.00;3.80;0.00;0.00;7.78;0.00;7.29;0.78;0.25;23.40;23.40;7.79;0.01;19.60;3.42;0.00;0.00;7.78;-0.00
565.00;-14.04;-5.76;0.00;19.49;0.00;5.07;0.00;5.76;0.00;6.23;0.65;0.25;14.04;14.04;5.76;0.00;19.10;0.00;4.56;0.00;5.76;-0.00
566.00;-24.73;-5.01;0.00;20.00;5.13;0.00;0.00;5.01;0.00;7.37;0.61;0.25;24.73;24.73;5.01;0.00;19.60;4.62;0.00;0.00;5.01;-0.00
567.00;-27.27;-5.08;0.00;20.00;7.67;0.00;0.00;5.08;0.00;5.95;0.61;0.25;27.27;27.27;5.08;0.00;19.60;6.90;0.00;0.00;5.08;-0.00
568.00;-16.36;-5.00;0.00;19.52;0.00;2.77;0.00;5.00;0.00;3.82;0.60;0.25;16.36;16.36;5.00;0.00;19.13;0.00;2.49;0.00;5.00;-0.00
569.00;-18.30;-5.15;0.00;19.59;0.00;0.89;0.00;5.15;0.00;4.44;0.61;0.25;18.30;18.30;5.15;0.00;19.20;0.00;0.80;0.00;5.15;-0.00
570.00;-28.00;-5.41;0.00;20.00;8.40;0.00;0.00;5.41;0.00;4.64;0.63;0.25;28.00;28.00;5.41;0.00;19.60;7.56;0.00;0.00;5.41;-0.00
571.00;-20.89;-5.22;0.00;20.00;1.29;0.00;0.00;5.22;0.00;2.31;0.62;0.25;20.89;20.89;5.22;0.00;19.60;1.16;0.00;0.00;5.22;-0.00
572.00;-11.20;-5.12;0.00;19.40;0.00;7.81;0.00;5.12;0.00;1.95;0.61;0.25;11.20;11.20;5.12;0.00;19.02;0.00;7.03;0.00;5.12;-0.00
573.00;-22.65;-5.13;0.00;20.00;3.05;0.00;0.00;5.13;0.00;3.71;0.62;0.25;22.65;22.65;5.13;0.00;19.60;2.74;0.00;0.00;5.13;-0.00
574.00;-28.40;-5.16;0.00;20.00;8.80;0.00;0.00;5.16;0.00;2.87;0.62;0.25;28.40;28.40;5.16;0.00;19.60;7.92;0.00;0.00;5.16;-0.00
575.00;-18.84;-4.84;0.00;19.59;0.00;0.36;0.00;4.84;0.00;0.42;0.59;0.25;18.84;18.84;4.84;0.00;19.20;0.00;0.33;0.00;4.84;-0.00
576.00;-16.41;-4.40;0.00;19.35;0.00;2.55;0.00;4.40;0.00;0.50;0.56;0.25;16.41;16.41;4.40;0.00;18.96;0.00;2.30;0.00;4.40;-0.00
577.00;-18.91;-4.50;0.00;19.68;0.00;0.38;0.00;4.50;0.00;1.08;0.57;0.25;18.91;18.91;4.50;0.00;19.29;0.00;0.34;0.00;4.50;-0.00
578.00;-13.98;-4.97;0.00;18.98;0.00;4.62;0.00;4.97;0.00;1.16;0.59;0.25;13.98;13.98;4.97;0.00;18.60;0.00;4.16;0.00;4.97;-0.00
579.00;-13.00;-5.38;0.00;18.88;0.00;5.51;0.00;5.38;0.00;2.20;0.62;0.25;13.00;13.00;5.38;0.00;18.50;0.00;4.95;0.00;5.38;-0.00
580.00;-18.62;-5.38;0.00;19.60;0.00;0.59;0.00;5.38;0.00;3.44;0.63;0.25;18.62;18.62;5.38;0.00;19.21;0.00;0.53;0.00;5.38;-0.00
581.00;-24.30;-5.34;0.00;20.00;4.70;0.00;0.00;5.34;0.00;3.57;0.63;0.25;24.30;24.30;5.34;0.00;19.60;4.23;0.00;0.00;5.34;-0.00
582.00;-19.75;-5.03;0.00;20.00;0.15;0.00;0.00;5.03;0.00;2.27;0.61;0.25;19.75;19.75;5.03;0.00;19.60;0.13;0.00;0.00;5.03;-0.00
583.00;-13.70;-4.88;0.00;19.11;0.00;5.03;0.00;4.88;0.00;2.23;0.59;0.25;13.70;13.70;4.88;0.00;18.73;0.00;4.53;0.00;4.88;-0.00
584.00;-16.65;-4.78;0.00;19.25;0.00;2.21;0.00;4.78;0.00;3.36;0.58;0.25;16.65;16.65;4.78;0.00;18.87;0.00;1.99;0.00;4.78;-0.00
585.00;-23.41;-4.88;0.00;20.00;3.81;0.00;0.00;4.88;0.00;3.86;0.60;0.25;23.41;23.41;4.88;0.00;19.60;3.43;0.00;0.00;4.88;-0.00
586.00;-20.06;-4.84;0.00;20.00;0.46;0.00;0.00;4.84;0.00;2.80;0.60;0.25;20.06;20.06;4.84;0.00;19.60;0.42;0.00;0.00;4.84;-0.00
