timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
91.00;-13.39;-3.09;0.00;0.35;0.00;21.73;0.00;3.00;2.53;0.28;0.25;13.39;13.39;3.09;0.00;0.32;0.00;13.04;0.00;-3.00
92.00;-8.54;-2.98;0.00;0.25;0.00;13.81;0.00;0.89;2.44;0.21;0.25;8.54;8.54;2.98;0.00;0.23;0.00;8.29;0.00;-0.89
93.00;-14.00;-3.00;0.00;0.34;0.00;22.77;0.00;3.38;2.36;0.28;0.25;14.00;14.00;3.00;0.00;0.31;0.00;13.66;0.00;-3.38
94.00;-16.02;-2.92;0.00;0.33;0.00;26.15;0.00;4.40;2.27;0.31;0.25;16.02;16.02;2.92;0.00;0.30;0.00;15.69;0.00;-4.40
95.00;-10.38;-2.61;0.00;0.26;0.00;16.87;0.00;2.11;2.18;0.22;0.25;10.38;10.38;2.61;0.00;0.24;0.00;10.12;0.00;-2.11
96.00;-11.21;-2.20;0.00;0.28;0.00;18.21;0.00;2.90;2.11;0.22;0.25;11.21;11.21;2.20;0.00;0.26;0.00;10.92;0.00;-2.90
97.00;-12.19;-2.22;0.00;0.29;0.00;19.84;0.00;3.33;2.03;0.24;0.25;12.19;12.19;2.22;0.00;0.26;0.00;11.90;0.00;-3.33
98.00;-8.89;-2.38;0.00;0.23;0.00;14.44;0.00;1.67;1.95;0.20;0.25;8.89;8.89;2.38;0.00;0.21;0.00;8.66;0.00;-1.67
99.00;-8.07;-2.67;0.00;0.21;0.00;13.11;0.00;1.00;1.88;0.19;0.25;8.07;8.07;2.67;0.00;0.19;0.00;7.87;0.00;-1.00
100.00;-12.35;-2.82;0.00;0.25;0.00;20.18;0.00;2.83;1.83;0.26;0.25;12.35;12.35;2.82;0.00;0.22;0.00;12.11;0.00;-2.83
101.00;-14.92;-2.76;0.00;0.25;0.00;24.45;0.00;4.09;1.76;0.29;0.25;14.92;14.92;2.76;0.00;0.23;0.00;14.67;0.00;-4.09
102.00;-11.45;-2.54;0.00;0.22;0.00;18.71;0.00;2.70;1.69;0.24;0.25;11.45;11.45;2.54;0.00;0.20;0.00;11.23;0.00;-2.70
103.00;-7.82;-2.40;0.00;0.18;0.00;12.73;0.00;1.16;1.63;0.18;0.25;7.82;7.82;2.40;0.00;0.16;0.00;7.64;0.00;-1.16
104.00;-9.78;-2.37;0.00;0.20;0.00;15.97;0.00;2.10;1.58;0.21;0.25;9.78;9.78;2.37;0.00;0.18;0.00;9.58;0.00;-2.10
105.00;-13.53;-2.39;0.00;0.20;0.00;22.21;0.00;3.83;1.52;0.26;0.25;13.53;13.53;2.39;0.00;0.18;0.00;13.33;0.00;-3.83
