timeStep;demandHeat1;demandHeat2;demandHeat3;demandHeat4;demandHeat5;demandElectricity;OilBoiler1;Connection12_12;Connection12_21;Connection13_13;Connection13_31;Connection14_14;Connection14_41;Connection15_15;Connection15_51;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;Connection23_23;Connection23_32;Connection24_24;Connection24_42;Connection25_25;Connection25_52;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;Connection34_34;Connection34_43;Connection35_35;Connection35_53;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;Connection45_45;Connection45_54;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;positiveDemandHeat1;positiveDemandHeat2;positiveDemandHeat3;positiveDemandHeat4;positiveDemandHeat5;demandHeat;positiveDemandElectricity;plusOilBoiler1;plusConnection12_12;plusConnection12_21;plusConnection13_13;plusConnection13_31;plusConnection14_14;plusConnection14_41;plusConnection15_15;plusConnection15_51;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusConnection23_23;plusConnection23_32;plusConnection24_24;plusConnection24_42;plusConnection25_25;plusConnection25_52;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusConnection34_34;plusConnection34_43;plusConnection35_35;plusConnection35_53;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusConnection45_45;plusConnection45_54;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
586.00;-0.80;-1.03;-20.06;-3.24;-11.61;-10.32;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;3.42;0.00;11.92;0.00;0.00;0.00;0.00;47.39;11.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.80;1.03;20.06;3.24;11.61;36.75;10.32;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;8.54;0.00;11.52;0.00;0.00;0.00;0.00;28.91;11.61;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
587.00;-3.20;-1.03;-13.28;-4.83;-8.36;-9.52;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;2.43;0.00;7.46;0.00;0.00;0.00;0.00;41.19;8.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.71;3.20;1.03;13.28;4.83;8.36;30.71;9.52;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;6.07;0.00;7.21;0.00;0.00;0.00;0.00;25.13;8.36;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
588.00;-3.20;-0.77;-14.98;-6.86;-9.78;-9.45;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;0.00;0.00;3.52;0.00;6.40;0.00;0.00;0.00;0.00;44.71;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.77;3.20;0.77;14.98;6.86;9.78;35.58;9.45;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;0.00;0.00;8.79;0.00;6.18;0.00;0.00;0.00;0.00;27.27;9.78;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
589.00;-3.20;-1.03;-25.47;-6.99;-15.46;-10.19;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;6.83;0.00;8.70;0.00;0.00;0.00;0.00;58.66;15.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.20;1.03;25.47;6.99;15.46;52.15;10.19;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;17.07;0.00;8.40;0.00;0.00;0.00;0.00;35.78;15.46;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
590.00;-0.80;-1.03;-23.38;-5.01;-13.84;-10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;5.02;0.00;11.21;0.00;0.00;0.00;0.00;52.84;14.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91;0.80;1.03;23.38;5.01;13.84;44.05;10.30;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;12.55;0.00;10.83;0.00;0.00;0.00;0.00;32.23;13.84;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
591.00;-3.60;-1.29;-17.07;-3.59;-10.09;-9.85;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00;0.00;0.00;0.00;3.37;0.00;8.95;0.00;0.00;0.00;0.00;45.59;10.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.78;3.60;1.29;17.07;3.59;10.09;35.64;9.85;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.29;0.00;0.00;0.00;0.00;0.00;0.00;8.43;0.00;8.65;0.00;0.00;0.00;0.00;27.81;10.09;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
592.00;-3.60;-0.26;-16.11;-5.51;-10.05;-9.60;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00;3.45;0.00;7.76;0.00;0.00;0.00;0.00;45.00;10.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.77;3.60;0.26;16.11;5.51;10.05;35.54;9.60;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00;8.62;0.00;7.50;0.00;0.00;0.00;0.00;27.45;10.05;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
593.00;-3.20;-1.55;-16.32;-6.95;-10.52;-9.67;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.58;0.00;0.00;0.00;0.00;0.00;0.00;4.07;0.00;6.37;0.00;0.00;0.00;0.00;47.36;10.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.81;3.20;1.55;16.32;6.95;10.52;38.54;9.67;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.55;0.00;0.00;0.00;0.00;0.00;0.00;10.17;0.00;6.15;0.00;0.00;0.00;0.00;28.89;10.52;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
594.00;-0.80;-1.55;-14.72;-7.10;-9.70;-9.74;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.58;0.00;0.00;0.00;0.00;0.00;0.00;3.02;0.00;7.42;0.00;0.00;0.00;0.00;43.99;9.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.80;1.55;14.72;7.10;9.70;33.87;9.74;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.55;0.00;0.00;0.00;0.00;0.00;0.00;7.55;0.00;7.17;0.00;0.00;0.00;0.00;26.84;9.70;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
595.00;-2.80;-1.03;-17.87;-8.80;-11.82;-9.86;0.00;0.00;0.00;0.00;0.00;0.00;2.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;4.80;0.00;6.07;0.00;0.00;0.00;0.00;50.56;12.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87;2.80;1.03;17.87;8.80;11.82;42.33;9.86;0.00;0.00;0.00;0.00;0.00;0.00;2.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;12.01;0.00;5.87;0.00;0.00;0.00;0.00;30.84;11.82;0.00;0.00;0.00;0.00;0.00;0.00;-0.00
