timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
334.00;-0.26;-0.24;0.56;0.26;0.00;0.32;0.00;0.00;0.04;0.00;0.25;0.26;0.26;0.24;0.56;0.26;0.00;0.31;0.00;-0.00
335.00;-1.29;-0.30;0.54;1.32;0.00;0.25;0.00;0.00;0.12;0.02;0.25;1.29;1.29;0.30;0.54;1.29;0.00;0.24;0.00;-0.00
336.00;-2.06;-0.40;0.68;2.10;0.00;0.28;0.00;0.00;0.18;0.03;0.25;2.06;2.06;0.40;0.68;2.06;0.00;0.27;0.00;-0.00
337.00;-0.52;-0.57;0.56;0.53;0.00;0.00;0.00;0.00;0.25;0.01;0.25;0.52;0.52;0.57;0.56;0.52;0.00;0.00;0.00;-0.00
338.00;-2.32;-2.08;0.51;2.37;0.53;0.00;1.04;0.00;0.25;0.10;0.25;2.32;2.32;2.08;0.51;2.32;0.52;0.00;1.04;-0.00
339.00;0.00;-0.54;0.51;0.00;0.01;0.00;0.02;0.00;0.12;0.00;0.25;-0.00;0.00;0.54;0.51;0.00;0.01;0.00;0.02;-0.00
340.00;0.00;-1.38;0.73;0.00;0.45;0.00;0.20;0.00;0.11;0.01;0.25;-0.00;0.00;1.38;0.73;0.00;0.44;0.00;0.20;-0.00
341.00;-2.58;-0.50;0.73;2.63;0.00;0.00;0.00;0.23;0.00;0.03;0.25;2.58;2.58;0.50;0.73;2.58;0.00;0.00;0.00;-0.23
342.00;-1.29;-0.42;0.70;1.32;0.00;0.00;0.00;0.29;0.00;0.01;0.25;1.29;1.29;0.42;0.70;1.29;0.00;0.00;0.00;-0.29
343.00;-1.03;-0.41;0.91;1.05;0.00;0.00;0.00;0.50;0.00;-0.00;0.25;1.03;1.03;0.41;0.91;1.03;0.00;0.00;0.00;-0.50
344.00;-0.77;-0.30;1.36;0.79;0.00;0.00;0.00;1.06;0.00;-0.02;0.25;0.77;0.77;0.30;1.36;0.77;0.00;0.00;0.00;-1.06
345.00;-1.03;-0.40;1.43;1.05;0.00;0.00;0.00;1.03;0.00;-0.02;0.25;1.03;1.03;0.40;1.43;1.03;0.00;0.00;0.00;-1.03
346.00;0.00;-0.34;1.66;0.00;0.00;0.00;0.00;1.32;0.00;-0.04;0.25;-0.00;0.00;0.34;1.66;0.00;0.00;0.00;0.00;-1.32
347.00;-1.29;-0.45;1.99;1.32;0.00;0.10;0.00;1.45;0.00;-0.03;0.25;1.29;1.29;0.45;1.99;1.29;0.00;0.09;0.00;-1.45
348.00;-1.03;-0.40;2.16;1.05;0.00;0.10;0.00;1.66;0.02;-0.04;0.25;1.03;1.03;0.40;2.16;1.03;0.00;0.10;0.00;-1.66
349.00;-1.03;-0.65;2.26;1.05;0.00;0.15;0.00;1.46;0.05;-0.03;0.25;1.03;1.03;0.65;2.26;1.03;0.00;0.15;0.00;-1.46
350.00;-0.52;-0.72;2.01;0.53;0.00;0.32;0.00;0.97;0.09;-0.02;0.25;0.52;0.52;0.72;2.01;0.52;0.00;0.31;0.00;-0.97
351.00;-1.03;-0.34;3.30;1.05;0.00;0.23;0.00;2.74;0.16;-0.07;0.25;1.03;1.03;0.34;3.30;1.03;0.00;0.22;0.00;-2.74
352.00;-1.03;-0.34;2.67;1.05;0.00;0.21;0.00;2.12;0.22;-0.05;0.25;1.03;1.03;0.34;2.67;1.03;0.00;0.21;0.00;-2.12
353.00;-0.26;-0.32;1.61;0.26;0.00;0.47;0.00;0.82;0.27;-0.02;0.25;0.26;0.26;0.32;1.61;0.26;0.00;0.46;0.00;-0.82
354.00;-1.29;-0.26;0.97;1.32;0.00;0.71;0.00;0.00;0.39;0.02;0.25;1.29;1.29;0.26;0.97;1.29;0.00;0.70;0.00;-0.00
355.00;-1.03;-0.22;0.75;1.05;0.00;0.53;0.00;0.00;0.56;0.02;0.25;1.03;1.03;0.22;0.75;1.03;0.00;0.52;0.00;-0.00
356.00;-0.52;-0.34;0.53;0.53;0.00;0.18;0.00;0.00;0.69;0.01;0.25;0.52;0.52;0.34;0.53;0.52;0.00;0.18;0.00;-0.00
357.00;-0.77;-0.36;0.34;0.79;0.00;0.00;0.01;0.00;0.74;0.01;0.25;0.77;0.77;0.36;0.34;0.77;0.00;0.00;0.01;-0.00
358.00;-1.03;-0.42;0.10;1.05;0.06;0.00;0.26;0.00;0.73;0.03;0.25;1.03;1.03;0.42;0.10;1.03;0.06;0.00;0.26;-0.00
359.00;-0.77;-0.43;0.24;0.79;0.03;0.00;0.16;0.00;0.72;0.02;0.25;0.77;0.77;0.43;0.24;0.77;0.03;0.00;0.16;-0.00
360.00;-0.52;-0.58;0.24;0.53;0.05;0.00;0.29;0.00;0.71;0.03;0.25;0.52;0.52;0.58;0.24;0.52;0.05;0.00;0.29;-0.00
361.00;-1.81;-0.79;0.27;1.84;0.07;0.00;0.45;0.00;0.70;0.06;0.25;1.81;1.81;0.79;0.27;1.81;0.06;0.00;0.45;-0.00
362.00;-1.29;-0.76;0.35;1.32;0.06;0.00;0.36;0.00;0.68;0.04;0.25;1.29;1.29;0.76;0.35;1.29;0.05;0.00;0.36;-0.00
363.00;-1.29;-0.38;0.34;1.32;0.01;0.00;0.03;0.00;0.67;0.02;0.25;1.29;1.29;0.38;0.34;1.29;0.01;0.00;0.03;-0.00
364.00;-0.77;-0.67;0.21;0.79;0.06;0.00;0.41;0.00;0.66;0.04;0.25;0.77;0.77;0.67;0.21;0.77;0.06;0.00;0.41;-0.00
365.00;-1.29;-0.83;0.17;1.32;0.06;0.00;0.59;0.00;0.65;0.06;0.25;1.29;1.29;0.83;0.17;1.29;0.06;0.00;0.59;-0.00
366.00;-1.29;-1.04;0.19;1.32;0.08;0.00;0.77;0.00;0.63;0.07;0.25;1.29;1.29;1.04;0.19;1.29;0.08;0.00;0.77;-0.00
367.00;-0.52;-1.13;0.15;0.53;0.08;0.00;0.90;0.00;0.61;0.06;0.25;0.52;0.52;1.13;0.15;0.52;0.08;0.00;0.90;-0.00
368.00;-1.03;-1.32;0.11;1.05;0.08;0.00;1.13;0.00;0.59;0.09;0.25;1.03;1.03;1.32;0.11;1.03;0.08;0.00;1.13;-0.00
369.00;-1.81;-1.21;0.09;1.84;0.08;0.00;1.04;0.00;0.57;0.09;0.25;1.81;1.81;1.21;0.09;1.81;0.08;0.00;1.04;-0.00
370.00;-1.29;-1.14;0.06;1.32;0.08;0.00;1.00;0.00;0.55;0.08;0.25;1.29;1.29;1.14;0.06;1.29;0.08;0.00;1.00;-0.00
371.00;-0.52;-1.15;0.02;0.53;0.08;0.00;1.04;0.00;0.53;0.07;0.25;0.52;0.52;1.15;0.02;0.52;0.08;0.00;1.04;-0.00
