timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
76.00;-12.28;-5.30;1.13;0.00;18.29;0.00;0.00;4.78;0.31;0.92;0.30;12.28;12.28;5.30;1.01;0.00;11.16;0.00;-0.00
77.00;-11.07;-6.92;0.00;3.48;23.86;0.00;0.00;4.47;0.41;1.20;0.30;11.07;11.07;6.92;0.00;3.14;14.55;0.00;-0.00
78.00;-9.25;-7.41;0.00;6.35;25.57;0.00;0.00;5.25;0.44;1.29;0.30;9.25;9.25;7.41;0.00;5.71;15.59;0.00;-0.00
79.00;-17.60;-8.53;0.00;0.35;29.42;0.00;0.00;6.68;0.50;1.49;0.30;17.60;17.60;8.53;0.00;0.31;17.95;0.00;-0.00
80.00;-25.83;-10.03;4.74;0.00;34.57;0.00;0.00;6.76;0.59;1.75;0.30;25.83;25.83;10.03;4.26;0.00;21.09;0.00;-0.00
81.00;-18.72;-8.59;0.65;0.00;29.62;0.00;0.00;5.44;0.51;1.50;0.30;18.72;18.72;8.59;0.59;0.00;18.07;0.00;-0.00
82.00;-12.00;-6.95;0.00;2.62;23.96;0.00;0.00;5.26;0.41;1.21;0.30;12.00;12.00;6.95;0.00;2.36;14.62;0.00;-0.00
83.00;-9.03;-7.12;0.00;5.94;24.54;0.00;0.00;5.85;0.42;1.24;0.30;9.03;9.03;7.12;0.00;5.34;14.97;0.00;-0.00
84.00;-7.51;-7.37;0.00;7.98;25.40;0.00;0.00;7.19;0.44;1.28;0.30;7.51;7.51;7.37;0.00;7.18;15.49;0.00;-0.00
85.00;-7.79;-6.93;0.00;6.78;23.88;0.00;0.00;8.98;0.41;1.21;0.30;7.79;7.79;6.93;0.00;6.10;14.57;0.00;-0.00
86.00;-8.39;-7.43;0.00;7.24;25.62;0.00;0.00;10.51;0.44;1.29;0.30;8.39;8.39;7.43;0.00;6.51;15.63;0.00;-0.00
87.00;-8.64;-7.06;0.00;6.21;24.35;0.00;0.00;12.14;0.42;1.23;0.30;8.64;8.64;7.06;0.00;5.59;14.86;0.00;-0.00
88.00;-7.77;-5.36;0.00;3.49;18.47;0.00;0.00;13.53;0.32;0.93;0.30;7.77;7.77;5.36;0.00;3.15;11.27;0.00;-0.00
89.00;-7.77;-4.88;0.00;2.50;16.84;0.00;0.00;14.32;0.29;0.85;0.30;7.77;7.77;4.88;0.00;2.25;10.27;0.00;-0.00
90.00;-8.23;-5.38;0.00;3.08;18.54;0.00;0.00;14.88;0.32;0.94;0.30;8.23;8.23;5.38;0.00;2.77;11.31;0.00;-0.00
91.00;-8.57;-5.39;0.00;2.78;18.60;0.00;0.00;15.58;0.32;0.94;0.30;8.57;8.57;5.39;0.00;2.50;11.35;0.00;-0.00
