timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
46.00;-13.92;-4.58;2.23;0.00;0.00;19.48;0.00;0.88;0.00;0.31;0.98;0.18;13.92;13.92;4.58;2.23;0.00;0.00;11.69;0.00;-0.88
47.00;-13.20;-4.00;2.17;0.00;0.00;18.37;0.00;1.14;0.00;0.28;0.93;0.24;13.20;13.20;4.00;2.17;0.00;0.00;11.02;0.00;-1.14
48.00;-11.26;-3.31;2.71;0.00;0.00;14.25;0.00;0.68;0.00;0.22;0.72;0.30;11.26;11.26;3.31;2.71;0.00;0.00;8.55;0.00;-0.68
49.00;-17.59;-3.28;2.25;0.00;0.00;25.57;0.00;3.88;0.00;0.29;1.29;0.30;17.59;17.59;3.28;2.25;0.00;0.00;15.34;0.00;-3.88
50.00;-20.91;-3.71;2.05;0.00;0.00;31.43;0.00;5.09;0.00;0.35;1.59;0.30;20.91;20.91;3.71;2.05;0.00;0.00;18.86;0.00;-5.09
51.00;-12.51;-4.29;2.04;0.00;0.00;17.45;0.00;0.59;0.00;0.28;0.88;0.30;12.51;12.51;4.29;2.04;0.00;0.00;10.47;0.00;-0.59
52.00;-8.00;-4.51;0.00;0.00;1.66;16.10;0.00;0.00;0.00;0.28;0.81;0.30;8.00;8.00;4.51;0.00;0.00;1.50;9.66;0.00;-0.00
53.00;-8.60;-4.19;2.93;0.00;3.32;14.98;0.00;0.00;0.37;0.26;0.76;0.30;8.60;8.60;4.19;2.93;0.00;2.99;8.99;0.00;-0.00
54.00;-8.77;-4.25;2.81;0.00;3.16;15.19;0.00;0.00;1.12;0.26;0.77;0.30;8.77;8.77;4.25;2.81;0.00;2.84;9.11;0.00;-0.00
55.00;-15.55;-4.73;3.65;0.56;0.00;18.90;0.00;0.56;1.83;0.30;0.95;0.30;15.55;15.55;4.73;3.65;0.51;0.00;11.34;0.00;-0.56
56.00;-21.35;-4.34;5.44;2.95;0.00;21.59;0.00;1.70;1.68;0.31;1.09;0.30;21.35;21.35;4.34;5.44;2.66;0.00;12.96;0.00;-1.70
57.00;-18.48;-3.56;5.71;3.08;0.00;16.14;0.00;0.96;0.86;0.24;0.82;0.30;18.48;18.48;3.56;5.71;2.77;0.00;9.68;0.00;-0.96
58.00;-13.57;-3.60;5.86;0.00;0.01;12.86;0.00;0.00;0.00;0.22;0.65;0.30;13.57;13.57;3.60;5.86;0.00;0.00;7.72;0.00;-0.00
59.00;-11.31;-3.70;4.24;0.00;0.86;13.22;0.00;0.00;0.00;0.23;0.67;0.30;11.31;11.31;3.70;4.24;0.00;0.77;7.93;0.00;-0.00
60.00;-9.97;-2.94;4.27;0.00;0.60;10.51;0.00;0.00;0.19;0.18;0.53;0.30;9.97;9.97;2.94;4.27;0.00;0.54;6.30;0.00;-0.00
61.00;-9.37;-2.77;3.87;0.00;0.44;9.89;0.00;0.00;0.33;0.17;0.50;0.30;9.37;9.37;2.77;3.87;0.00;0.39;5.94;0.00;-0.00
62.00;-17.57;-3.72;8.06;1.54;0.00;13.28;0.00;0.00;0.43;0.23;0.67;0.30;17.57;17.57;3.72;8.06;1.39;0.00;7.97;0.00;-0.00
