timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
40.00;-9.68;-5.62;2.75;0.00;0.00;0.04;3.89;6.76;0.00;0.03;0.08;0.80;0.05;9.68;9.68;5.62;2.75;0.00;0.00;0.03;9.71;6.76;-0.00
41.00;-16.72;-5.76;2.89;0.00;0.00;0.04;6.71;9.58;0.00;0.03;0.12;1.13;0.05;16.72;16.72;5.76;2.89;0.00;0.00;0.04;16.76;9.58;-0.00
42.00;-25.16;-4.95;2.37;0.00;0.16;0.00;10.00;12.58;0.00;0.04;0.16;1.49;0.05;25.16;25.16;4.95;2.37;0.00;0.14;0.00;25.00;12.58;-0.00
43.00;-21.79;-5.22;2.46;0.00;0.00;3.21;10.00;12.76;0.00;0.00;0.16;1.51;0.05;21.79;21.79;5.22;2.46;0.00;0.00;2.89;25.00;12.76;-0.00
44.00;-13.45;-6.76;2.32;0.00;0.00;11.55;10.00;14.43;0.00;0.72;0.18;1.71;0.05;13.45;13.45;6.76;2.32;0.00;0.00;10.39;25.00;14.43;-0.00
45.00;-9.39;-8.62;2.99;0.00;0.00;15.61;10.00;15.63;0.00;3.32;0.44;1.85;0.11;9.39;9.39;8.62;2.99;0.00;0.00;14.05;25.00;15.63;-0.00
46.00;-19.28;-10.56;4.46;15.98;3.62;0.00;0.00;6.10;0.00;6.83;0.50;1.53;0.18;19.28;19.28;10.56;4.46;15.66;3.26;0.00;0.00;6.10;-0.00
47.00;-19.84;-8.47;4.35;20.00;0.00;1.56;0.72;4.84;0.00;5.83;0.58;1.58;0.24;19.84;19.84;8.47;4.35;19.60;0.00;1.40;1.80;4.84;-0.00
48.00;-16.39;-5.66;5.42;20.00;0.00;3.21;0.00;0.24;0.00;6.18;0.31;1.04;0.30;16.39;16.39;5.66;5.42;19.60;0.00;2.89;0.00;0.24;-0.00
49.00;-28.89;-4.96;4.50;20.00;9.29;0.00;0.00;0.45;0.00;6.90;0.33;1.06;0.30;28.89;28.89;4.96;4.50;19.60;8.36;0.00;0.00;0.45;-0.00
