timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
73.00;-11.37;-4.00;1.10;0.12;0.00;16.92;0.00;0.74;0.40;0.27;0.25;11.37;11.37;4.00;1.10;0.11;0.00;10.15;0.00;-0.74
74.00;-14.82;-3.74;1.39;0.16;0.00;22.11;0.00;2.45;0.37;0.30;0.25;14.82;14.82;3.74;1.39;0.14;0.00;13.27;0.00;-2.45
75.00;-20.31;-4.34;1.36;0.14;0.00;31.34;0.00;4.43;0.32;0.40;0.25;20.31;20.31;4.34;1.36;0.13;0.00;18.80;0.00;-4.43
76.00;-16.32;-4.66;0.83;0.12;0.00;25.61;0.00;2.51;0.28;0.36;0.25;16.32;16.32;4.66;0.83;0.11;0.00;15.37;0.00;-2.51
77.00;-15.03;-5.48;0.69;0.10;0.00;23.72;0.00;1.16;0.25;0.37;0.25;15.03;15.03;5.48;0.69;0.09;0.00;14.23;0.00;-1.16
78.00;-13.14;-5.07;0.75;0.07;0.00;20.52;0.00;0.68;0.22;0.33;0.25;13.14;13.14;5.07;0.75;0.06;0.00;12.31;0.00;-0.68
79.00;-11.92;-4.60;0.61;0.06;0.00;18.74;0.00;0.65;0.20;0.30;0.25;11.92;11.92;4.60;0.61;0.06;0.00;11.24;0.00;-0.65
80.00;-19.74;-4.99;0.46;0.08;0.00;32.01;0.00;3.98;0.18;0.42;0.25;19.74;19.74;4.99;0.46;0.07;0.00;19.21;0.00;-3.98
81.00;-19.91;-4.95;0.36;0.06;0.00;32.47;0.00;4.14;0.16;0.43;0.25;19.91;19.91;4.95;0.36;0.06;0.00;19.48;0.00;-4.14
82.00;-14.12;-4.32;0.23;0.05;0.00;23.06;0.00;2.14;0.14;0.33;0.25;14.12;14.12;4.32;0.23;0.05;0.00;13.84;0.00;-2.14
83.00;-16.41;-4.46;0.10;0.06;0.00;27.08;0.00;3.12;0.13;0.37;0.25;16.41;16.41;4.46;0.10;0.05;0.00;16.25;0.00;-3.12
84.00;-14.48;-4.44;0.00;0.05;0.00;24.04;0.00;2.29;0.11;0.34;0.25;14.48;14.48;4.44;0.00;0.05;0.00;14.42;0.00;-2.29
85.00;-9.50;-3.65;0.00;0.04;0.00;15.78;0.00;0.77;0.10;0.25;0.25;9.50;9.50;3.65;0.00;0.03;0.00;9.47;0.00;-0.77
86.00;-15.41;-3.53;0.00;0.03;0.00;25.63;0.00;3.65;0.09;0.32;0.25;15.41;15.41;3.53;0.00;0.03;0.00;15.38;0.00;-3.65
87.00;-16.84;-3.46;0.00;0.03;0.00;28.02;0.00;4.39;0.08;0.34;0.25;16.84;16.84;3.46;0.00;0.03;0.00;16.81;0.00;-4.39
88.00;-10.75;-3.01;0.00;0.03;0.00;17.88;0.00;2.00;0.07;0.24;0.25;10.75;10.75;3.01;0.00;0.02;0.00;10.73;0.00;-2.00
89.00;-11.80;-2.94;0.00;0.02;0.00;19.63;0.00;2.56;0.06;0.26;0.25;11.80;11.80;2.94;0.00;0.02;0.00;11.78;0.00;-2.56
90.00;-17.13;-3.15;0.00;0.02;0.00;28.51;0.00;4.84;0.06;0.34;0.25;17.13;17.13;3.15;0.00;0.02;0.00;17.11;0.00;-4.84
91.00;-13.39;-3.09;0.00;0.02;0.00;22.28;0.00;3.15;0.05;0.28;0.25;13.39;13.39;3.09;0.00;0.02;0.00;13.37;0.00;-3.15
92.00;-8.54;-2.98;0.00;0.02;0.00;14.21;0.00;1.00;0.04;0.21;0.25;8.54;8.54;2.98;0.00;0.02;0.00;8.53;0.00;-1.00
93.00;-14.00;-3.00;0.00;0.02;0.00;23.31;0.00;3.53;0.04;0.29;0.25;14.00;14.00;3.00;0.00;0.01;0.00;13.99;0.00;-3.53
94.00;-16.02;-2.92;0.00;0.01;0.00;26.68;0.00;4.55;0.03;0.31;0.25;16.02;16.02;2.92;0.00;0.01;0.00;16.01;0.00;-4.55
95.00;-10.38;-2.61;0.00;0.01;0.00;17.28;0.00;2.23;0.03;0.23;0.25;10.38;10.38;2.61;0.00;0.01;0.00;10.37;0.00;-2.23
96.00;-11.21;-2.20;0.00;0.01;0.00;18.66;0.00;3.03;0.03;0.23;0.25;11.21;11.21;2.20;0.00;0.01;0.00;11.20;0.00;-3.03
97.00;-12.19;-2.22;0.00;0.01;0.00;20.29;0.00;3.46;0.02;0.24;0.25;12.19;12.19;2.22;0.00;0.01;0.00;12.18;0.00;-3.46
98.00;-8.89;-2.38;0.00;0.01;0.00;14.81;0.00;1.77;0.02;0.20;0.25;8.89;8.89;2.38;0.00;0.01;0.00;8.88;0.00;-1.77
99.00;-8.07;-2.67;0.00;0.01;0.00;13.43;0.00;1.09;0.02;0.20;0.25;8.07;8.07;2.67;0.00;0.01;0.00;8.06;0.00;-1.09
100.00;-12.35;-2.82;0.00;0.01;0.00;20.58;0.00;2.94;0.02;0.26;0.25;12.35;12.35;2.82;0.00;0.01;0.00;12.35;0.00;-2.94
101.00;-14.92;-2.76;0.00;0.01;0.00;24.86;0.00;4.20;0.01;0.29;0.25;14.92;14.92;2.76;0.00;0.01;0.00;14.92;0.00;-4.20
102.00;-11.45;-2.54;0.00;0.01;0.00;19.07;0.00;2.80;0.01;0.24;0.25;11.45;11.45;2.54;0.00;0.01;0.00;11.44;0.00;-2.80
103.00;-7.82;-2.40;0.00;0.00;0.00;13.02;0.00;1.24;0.01;0.18;0.25;7.82;7.82;2.40;0.00;0.00;0.00;7.81;0.00;-1.24
104.00;-9.78;-2.37;0.00;0.00;0.00;16.29;0.00;2.19;0.01;0.21;0.25;9.78;9.78;2.37;0.00;0.00;0.00;9.78;0.00;-2.19
105.00;-13.53;-2.39;0.00;0.01;0.00;22.54;0.00;3.92;0.01;0.26;0.25;13.53;13.53;2.39;0.00;0.01;0.00;13.52;0.00;-3.92
106.00;-11.61;-2.25;0.00;0.00;0.00;19.35;0.00;3.17;0.01;0.23;0.25;11.61;11.61;2.25;0.00;0.00;0.00;11.61;0.00;-3.17
107.00;-8.36;-2.07;0.00;0.00;0.00;13.93;0.00;1.83;0.01;0.18;0.25;8.36;8.36;2.07;0.00;0.00;0.00;8.36;0.00;-1.83
108.00;-9.78;-2.07;0.00;0.00;0.00;16.29;0.00;2.50;0.01;0.20;0.25;9.78;9.78;2.07;0.00;0.00;0.00;9.78;0.00;-2.50
109.00;-15.46;-2.23;0.00;0.00;0.00;25.76;0.00;4.98;0.00;0.29;0.25;15.46;15.46;2.23;0.00;0.00;0.00;15.46;0.00;-4.98
110.00;-13.84;-2.28;0.00;0.00;0.00;23.06;0.00;4.17;0.00;0.26;0.25;13.84;13.84;2.28;0.00;0.00;0.00;13.84;0.00;-4.17
111.00;-10.09;-2.16;0.00;0.00;0.00;16.81;0.00;2.55;0.00;0.21;0.25;10.09;10.09;2.16;0.00;0.00;0.00;10.09;0.00;-2.55
112.00;-10.05;-2.10;0.00;0.00;0.00;16.75;0.00;2.59;0.00;0.21;0.25;10.05;10.05;2.10;0.00;0.00;0.00;10.05;0.00;-2.59
113.00;-10.52;-2.09;0.00;0.00;0.00;17.54;0.00;2.82;0.00;0.21;0.25;10.52;10.52;2.09;0.00;0.00;0.00;10.52;0.00;-2.82
114.00;-9.70;-2.11;0.00;0.00;0.00;16.17;0.00;2.42;0.00;0.20;0.25;9.70;9.70;2.11;0.00;0.00;0.00;9.70;0.00;-2.42
115.00;-11.82;-2.13;0.00;0.00;0.00;19.70;0.00;3.39;0.00;0.23;0.25;11.82;11.82;2.13;0.00;0.00;0.00;11.82;0.00;-3.39
116.00;-15.52;-2.10;0.00;0.00;0.00;25.87;0.00;5.14;0.00;0.28;0.25;15.52;15.52;2.10;0.00;0.00;0.00;15.52;0.00;-5.14
117.00;-13.98;-2.14;0.00;0.00;0.00;23.30;0.00;4.38;0.00;0.26;0.25;13.98;13.98;2.14;0.00;0.00;0.00;13.98;0.00;-4.38
118.00;-13.56;-2.22;0.00;0.00;0.00;22.60;0.00;4.10;0.00;0.26;0.25;13.56;13.56;2.22;0.00;0.00;0.00;13.56;0.00;-4.10
119.00;-10.40;-2.25;0.00;0.00;0.00;17.34;0.00;2.60;0.00;0.22;0.25;10.40;10.40;2.25;0.00;0.00;0.00;10.40;0.00;-2.60
120.00;-8.66;-2.37;0.02;0.00;0.00;14.40;0.00;1.66;0.00;0.19;0.25;8.66;8.66;2.37;0.02;0.00;0.00;8.64;0.00;-1.66
121.00;-12.41;-2.73;0.11;0.00;0.00;20.51;0.00;3.01;0.00;0.26;0.25;12.41;12.41;2.73;0.11;0.00;0.00;12.31;0.00;-3.01
122.00;-16.10;-2.99;0.24;0.00;0.00;26.44;0.00;4.41;0.00;0.31;0.25;16.10;16.10;2.99;0.24;0.00;0.00;15.87;0.00;-4.41
123.00;-16.15;-3.21;0.37;0.00;0.00;26.30;0.00;4.15;0.00;0.32;0.25;16.15;16.15;3.21;0.37;0.00;0.00;15.78;0.00;-4.15
124.00;-19.64;-3.63;0.51;0.00;0.00;31.88;0.00;5.30;0.00;0.38;0.25;19.64;19.64;3.63;0.51;0.00;0.00;19.13;0.00;-5.30
125.00;-19.02;-3.56;0.69;0.00;0.00;30.54;0.00;5.00;0.00;0.37;0.25;19.02;19.02;3.56;0.69;0.00;0.00;18.33;0.00;-5.00
126.00;-9.98;-3.19;1.09;0.00;0.00;14.80;0.00;0.96;0.00;0.22;0.25;9.98;9.98;3.19;1.09;0.00;0.00;8.88;0.00;-0.96
127.00;-15.33;-2.91;1.18;0.00;0.00;23.58;0.00;3.69;0.00;0.29;0.25;15.33;15.33;2.91;1.18;0.00;0.00;14.15;0.00;-3.69
128.00;-18.71;-2.81;1.21;0.00;0.00;29.16;0.00;5.36;0.00;0.33;0.25;18.71;18.71;2.81;1.21;0.00;0.00;17.49;0.00;-5.36
129.00;-14.28;-3.08;1.01;0.00;0.00;22.12;0.00;3.12;0.00;0.28;0.25;14.28;14.28;3.08;1.01;0.00;0.00;13.27;0.00;-3.12
130.00;-15.28;-3.49;0.90;0.00;0.00;23.97;0.00;3.22;0.00;0.31;0.25;15.28;15.28;3.49;0.90;0.00;0.00;14.38;0.00;-3.22
131.00;-15.05;-3.66;0.73;0.00;0.00;23.87;0.00;3.03;0.00;0.31;0.25;15.05;15.05;3.66;0.73;0.00;0.00;14.32;0.00;-3.03
132.00;-11.13;-3.78;0.78;0.00;0.00;17.25;0.00;1.05;0.00;0.26;0.25;11.13;11.13;3.78;0.78;0.00;0.00;10.35;0.00;-1.05
